(apierhalter|Toilettenpapier Halter|Toilettenpapier-Bevorrater|Toilettenpapier-Halter),197
(tuchhalter|tuchreling|Handtuch-Halter|Handtuch-Reling|Handtuch-Stange|Handtuch Reling|tuchstange|tuchring|tuchreck),193
(Wannengriff|Haltegriff|Sicherheitsgriff|Griff|Relinggriff|Möbelgriff),192
(Haken|haken),191
Seifenspender,196
(bürste|Bürste),199
Badeteppich,206
WC-Sitz,236
Treteimer,194
(Bidetarmatur|mischer für Bidet|Bidet-Einhebelmischer),13
(Wannenfüll|Wannenrandarmatur|Wannenarmatur|Wannen-Einhebelmischer|Wannen-Thermostat|Badewannenthermostat|Wannenthermostat),189
(Brausearmatur|Brausethermostat|Brause-Einhebelmischer|Duschthermostat|Duschbatterie|Brausearm|Brauseset),185
(Spültischarmatur|Küchenarmatur),457
Brausewanne,222
Gästetuch,224
(Handtuch|Seiftuch),225
Waschhandschuh,228
Strandtuch,226
Porzellanwaschtisch,23
schlauch,188
Kopfbrause,220
LED-(Lampe|Lichtleiste|Innenbeleuchtung|Aufbauleuchte|Aufsatzleuchte|Leiste|Beleuchtung|Treiber|Transformator|Glasbodenbeleuchtung),17
(lampe|Beleuchtungssatz|Beleuchtungselement|Lampe|Lichtpanel),17
Bewegungsmelder für LED,17
